id,name,p_code,postal_code,ward_type,township_id:id,town_id:id,name_mm
vt_001003043,Ma Dan Tu,MMR001003043,0102242,village_tract,township_001003,,မဒန်တူ
vt_001003044,In Law Au Mar,MMR001003044,0102243,village_tract,township_001003,,အင်လောအူမား
vt_001003045,Wa Li Chet,MMR001003045,0102244,village_tract,township_001003,,ဝါလီချက်
vt_001003046,Nawt Hkum Gar,MMR001003046,0102245,village_tract,township_001003,,နော့ခွမ်ဂါး
vt_001003047,In Shang Hkoe Gar,MMR001003047,0102246,village_tract,township_001003,,အင်ရှန်ခိုးဂါး
vt_001003048,Kying Ma Gar,MMR001003048,0102247,village_tract,township_001003,,ကျိန်မာဂါး
vt_001003049,Ma Wun Au Mar,MMR001003049,0102248,village_tract,township_001003,,မဝန်အူမား
vt_001003050,Sha Re Au Mar,MMR001003050,0102249,village_tract,township_001003,,ရှရဲအူမား
vt_001003051,In Hku,MMR001003051,0102250,village_tract,township_001003,,အင်ခူး
vt_001003052,Adan Gar,MMR001003052,0102251,village_tract,township_001003,,အဒန်ဂါး
vt_001003053,Gum Lang,MMR001003053,0102252,village_tract,township_001003,,ဂွမ်လန်
vt_001003054,Hpum Yawng Ding Sa,MMR001003054,0102253,village_tract,township_001003,,ဖွမ်ယောင်ဒိန်ဆာ
vt_001003055,Ka Htang Tu,MMR001003055,0102254,village_tract,township_001003,,ကထန်တူ
vt_001003056,In Gum La,MMR001003056,0102255,village_tract,township_001003,,အင်ဂွမ်းလ
vt_001003057,In Bang Bum,MMR001003057,0102256,village_tract,township_001003,,အင်ဘန်ဘွမ်း
vt_001003058,Ma Htaw Au Mar,MMR001003058,0102257,village_tract,township_001003,,မထော်အူမား
vt_001003059,Naw Lang,MMR001003059,0102258,village_tract,township_001003,,နော်လန်
vt_001003060,Ka Dawt Zum Hpaw,MMR001003060,0102259,village_tract,township_001003,,ကဒေါ့ဇွမ်ဖော်
vt_001003061,In Kwei,MMR001003061,0102260,village_tract,township_001003,,အင်ကွယ်
vt_001003062,In Byine Gar,MMR001003062,0102261,village_tract,township_001003,,အင်ဗျိုင်ဂါး
vt_001003063,In Sar Hkram,MMR001003063,0102262,village_tract,township_001003,,အင်ဆာခရန်
ward_001003701501,No (1) Ward,MMR001003701501,0102001,ward,township_001003,town_001003701,အမှတ် (၁) ရပ်ကွက်
