id,name,code,township_id:id,name_mm
town_009017701,Sinbaungwe Town,MMR009017701,township_009017,ဆင်ပေါင်ဝဲ
town_009018701,Pakokku Town,MMR009018701,township_009018,ပခုက္ကူ
town_009018702,Kamma Town,MMR009018702,township_009018,ကမ္မ
town_009018703,Myit Chay Town,MMR009018703,township_009018,မြစ်ခြေ
town_009019701,Yesagyo Town,MMR009019701,township_009019,ရေစကြို
town_009020701,Myaing Town,MMR009020701,township_009020,မြိုင်
town_009021701,Pauk Town,MMR009021701,township_009021,ပေါက်
town_009022701,Seikphyu Town,MMR009022701,township_009022,ဆိပ်ဖြူ
town_009023701,Gangaw Town,MMR009023701,township_009023,ဂန့်ဂေါ
town_009023702,Kyaw Town,MMR009023702,township_009023,ကျော
town_009024701,Tilin Town,MMR009024701,township_009024,ထီးလင်း
town_009025701,Saw Town,MMR009025701,township_009025,ဆော
town_009025702,Kyaukhtu Town,MMR009025702,township_009025,ကျောက်ထု
town_010000777,Mandalay City,MMR010000777,township_010001,မန္တလေး
town_010001701,Aungmyaythazan Town,MMR010001701,township_010001,အောင်မြေသာဇံ
town_010002701,Chanayethazan Town,MMR010002701,township_010002,ချမ်းအေးသာဇံ
town_010003701,Mahaaungmyay Town,MMR010003701,township_010003,မဟာအောင်မြေ
town_010004701,Chanmyathazi Town,MMR010004701,township_010004,ချမ်းမြသာစည်
town_010005701,Pyigyitagon Town,MMR010005701,township_010005,ပြည်ကြီးတံခွန်
town_010006701,Amarapura Town,MMR010006701,township_010006,အမရပူရ
town_010006702,Myitnge Town,MMR010006702,township_010006,မြစ်ငယ်
town_010007701,Patheingyi Town,MMR010007701,township_010007,ပုသိမ်ကြီး
town_010008701,Pyinoolwin Town,MMR010008701,township_010008,ပြင်ဦးလွင်
town_010009701,Madaya Town,MMR010009701,township_010009,မတ္တရာ
town_010010701,Singu Town,MMR010010701,township_010010,စဉ့်ကူး
town_010011701,Mogoke Town,MMR010011701,township_010011,မိုးကုတ်
town_010012701,Thabeikkyin Town,MMR010012701,township_010012,သပိတ်ကျင်း
town_010012702,Takaung Town,MMR010012702,township_010012,တကောင်း
town_010013701,Kyaukse Town,MMR010013701,township_010013,ကျောက်ဆည်
town_010014701,Sintgaing Town,MMR010014701,township_010014,စဉ့်ကိုင်
town_010015701,Myittha Town,MMR010015701,township_010015,မြစ်သား
town_010015702,Ku Me Town,MMR010015702,township_010015,ကူမဲ
town_010016701,Tada-U Town,MMR010016701,township_010016,တံတားဦး
town_010017701,Myingyan Town,MMR010017701,township_010017,မြင်းခြံ
town_010017702,Si Mee Khon Town,MMR010017702,township_010017,ဆီမီးခုံ
town_010018701,Taungtha Town,MMR010018701,township_010018,တောင်သာ
town_010019701,Natogyi Town,MMR010019701,township_010019,နွားထိုးကြီး
town_010020701,Kyaukpadaung Town,MMR010020701,township_010020,ကျောက်ပန်းတောင်း
town_010021701,Ngazun Town,MMR010021701,township_010021,ငါန်းဇွန်
town_010022701,Nyaung-U Town,MMR010022701,township_010022,ညောင်ဦး
town_010022702,Bagan Town,MMR010022702,township_010022,ပုဂံ
town_010022703,Ngathayauk Town,MMR010022703,township_010022,ငါ့သရောက်
town_010023701,Yamethin Town,MMR010023701,township_010023,ရမည်းသင်း
town_010024701,Pyawbwe Town,MMR010024701,township_010024,ပျော်ဘွယ်
town_010028701,Meiktila Town,MMR010028701,township_010028,မိတ္ထီလာ
town_010029701,Mahlaing Town,MMR010029701,township_010029,မလှိုင်
town_010030701,Thazi Town,MMR010030701,township_010030,သာစည်
town_010031701,Wundwin Town,MMR010031701,township_010031,ဝမ်းတွင်း
town_011001701,Mawlamyine Town,MMR011001701,township_011001,မော်လမြိုင်
town_011002701,Kyaikmaraw Town,MMR011002701,township_011002,ကျိုက်မရော
town_011003701,Chaungzon Town,MMR011003701,township_011003,ချောင်းဆုံ
town_011004701,Thanbyuzayat Town,MMR011004701,township_011004,သံဖြူဇရပ်
town_011004702,Kyaikkhami Town,MMR011004702,township_011004,ကျိုက္ခမီ
town_011005701,Mudon Town,MMR011005701,township_011005,မုဒုံ
town_011005702,Kamarwet Town,MMR011005702,township_011005,ကမာ၀က်
town_011006701,Ye Town,MMR011006701,township_011006,ရေး
town_011006702,Lamaing Town,MMR011006702,township_011006,လမိုင်း
town_011006703,Khawzar Town,MMR011006703,township_011006,ခေါဇာ
town_011007701,Thaton Town,MMR011007701,township_011007,သထုံ
town_011007702,Thuwunnawady Town,MMR011007702,township_011007,သုဝဏ္ဏဝတီ
town_011008701,Paung Town,MMR011008701,township_011008,ပေါင်
town_011008702,Zinkyaik Town,MMR011008702,township_011008,ဇင်းကျိုက်
town_011009701,Kyaikto Town,MMR011009701,township_011009,ကျိုက်ထို
town_011009702,Thein Za Yat Town,MMR011009702,township_011009,သိမ်ဇရပ်
town_011010701,Bilin Town,MMR011010701,township_011010,ဘီးလင်း
town_012001701,Sittwe Town,MMR012001701,township_012001,စစ်တွေ
town_012002701,Ponnagyun Town,MMR012002701,township_012002,ပုဏ္ဏားကျွန်း
town_012003701,Mrauk-U Town,MMR012003701,township_012003,မြောက်ဦး
town_012004701,Kyauktaw Town,MMR012004701,township_012004,ကျောက်တော်
town_012005701,Minbya Town,MMR012005701,township_012005,မင်းပြား
town_012006701,Myebon Town,MMR012006701,township_012006,မြေပုံ
town_012006702,Kanhtauntkyi Town,MMR012006702,township_012006,ကမ်းထောင့်ကြီး
town_012007701,Pauktaw Town,MMR012007701,township_012007,ပေါက်တော
town_012008701,Rathedaung Town,MMR012008701,township_012008,ရသေ့တောင်
town_012009701,Maungdaw Town,MMR012009701,township_012009,မောင်တော
town_012009702,Taungpyoletwea Town,MMR012009702,township_012009,တောင်ပြိုလက်ဝဲ
town_012009703,Kha Maung Seik Town,MMR012009703,township_012009,ခမောင်းဆိပ်
town_012009704,Myin Hlut Town,MMR012009704,township_012009,မြင်းလွှတ်
town_012010701,Buthidaung Town,MMR012010701,township_012010,ဘူးသီးတောင်
town_012011701,Kyaukpyu Town,MMR012011701,township_012011,ကျောက်ဖြူ
town_012011702,Sa Ne Town,MMR012011702,township_012011,စနဲ
town_012012701,Munaung Town,MMR012012701,township_012012,မာန်အောင်
town_012013701,Ramree Town,MMR012013701,township_012013,ရမ်းဗြဲ
town_012013702,Lay Taung Town,MMR012013702,township_012013,လေးတောင်
town_012014701,Ann Town,MMR012014701,township_012014,အမ်း
town_012014702,Tat Taung Town,MMR012014702,township_012014,တပ်တောင်
town_012015701,Thandwe Town,MMR012015701,township_012015,သံတွဲ
town_012015702,Ngapali Town,MMR012015702,township_012015,ငပလီ
town_012016701,Toungup Town,MMR012016701,township_012016,တောင်ကုတ်
town_012016702,Ma-Ei Town,MMR012016702,township_012016,မအီ
town_012016703,Tan Hlwe Ywar Ma Town,MMR012016703,township_012016,တန်းလွဲရွာမ
town_012017701,Gwa Town,MMR012017701,township_012017,ဂွ
town_012017702,Kyeintali Town,MMR012017702,township_012017,ကျိန္တလီ
town_013001701,Insein,MMR013001701,township_013001,အင်းစိန်
town_013002701,Mingaladon,MMR013002701,township_013002,မင်္ဂလာဒုံ
town_013002702,Htaukkyant Town,MMR013002702,township_013002,ထောက်ကြန့်
town_013003701,Hmawbi Town,MMR013003701,township_013003,မှော်ဘီ
town_013004701,Hlegu Town,MMR013004701,township_013004,လှည်းကူး
town_013005701,Taikkyi Town,MMR013005701,township_013005,တိုက်ကြီး
town_013005702,Okekan Town,MMR013005702,township_013005,ဥက္ကံ
town_013005703,Ahpyauk Town,MMR013005703,township_013005,အဖျောက်
town_013006701,Htantabin Town,MMR013006701,township_013006,ထန်းတပင်
town_013007701,Shwepyithar Town,MMR013007701,township_013007,ရွှေပြည်သာ
town_013008701,Hlaingtharya Town,MMR013008701,township_013008,လှိုင်သာယာ
town_013009701,Thingangyun,MMR013009701,township_013009,သင်္ဃန်းကျွန်း
town_013010701,Yankin,MMR013010701,township_013010,ရန်ကင်း
town_013011701,South Okkalapa,MMR013011701,township_013011,တောင်ဥက္ကလာပ
town_013012701,North Okkalapa,MMR013012701,township_013012,မြောက်ဥက္ကလာပ
town_013013701,Thaketa,MMR013013701,township_013013,သာကေတ
town_013014701,Dawbon,MMR013014701,township_013014,ဒေါပုံ
town_013015701,Tamwe,MMR013015701,township_013015,တာမွေ
town_013016701,Pazundaung,MMR013016701,township_013016,ပုဇွန်တောင်
town_013017701,Botahtaung,MMR013017701,township_013017,ဗိုလ်တထောင်
town_013018701,Dagon Myothit (South) Town,MMR013018701,township_013018,ဒဂုံမြို့သစ်(တောင်ပိုင်း)
town_013019701,Dagon Myothit (North) Town,MMR013019701,township_013019,ဒဂုံမြို့သစ်(မြောက်ပိုင်း)
town_013020701,Dagon Myothit (East),MMR013020701,township_013020,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း)
town_013021701,Dagon Myothit (Seikkan),MMR013021701,township_013021,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း)
town_013022701,Mingalartaungnyunt,MMR013022701,township_013022,မင်္ဂလာတောင်ညွန့်
town_013023701,Thanlyin Town,MMR013023701,township_013023,သန်လျင်
town_013024701,Kyauktan Town,MMR013024701,township_013024,ကျောက်တန်း
town_013024702,Tadar Town,MMR013024702,township_013024,တံတား
town_013025701,Thongwa Town,MMR013025701,township_013025,သုံးခွ
town_013026701,Kayan Town,MMR013026701,township_013026,ခရမ်း
town_013027701,Twantay Town,MMR013027701,township_013027,တွံတေး
town_013028701,Kawhmu Town,MMR013028701,township_013028,ကော့မှူး
town_013029701,Kungyangon Town,MMR013029701,township_013029,ကွမ်းခြံကုန်း
town_013030701,Dala,MMR013030701,township_013030,ဒလ
town_013031701,Seikgyikanaungto,MMR013031701,township_013031,ဆိပ်ကြီး/ခနောင်တို
town_013032701,Cocokyun Town,MMR013032701,township_013032,ကိုကိုးကျွန်း
town_013000777,Yangon City,MMR013000777,township_013033,ရန်ကုန်
