id,name,postcode,township_id:id
zip_06361,Theinni,06361,township_015012
zip_06371,Kutkai,06371,township_015011
zip_06372,Kutkai,06372,township_015011
zip_06373,Kutkai,06373,township_015021
zip_06391,Hopan,06391,township_015021
zip_06392,Hopan,06392,township_015021
zip_06393,Hopan,06393,township_015021
zip_06401,Muse,06401,township_015009
zip_06402,Muse,06402,township_015009
zip_06403,Muse,06403,township_015009
zip_06404,Muse,06404,township_015009
zip_06411,Nankham,06411,township_015010
zip_06431,Tantyan,06431,township_015004
zip_06451,Mabain,06451,township_015018
zip_06461,Minepyin,06461,township_015024
zip_06481,Laukkaing,06481,township_015022
zip_06482,Chinshwehaw,06482,township_015022
zip_06531,Khonegyan,06531,township_015023
zip_06541,Manton,06541,township_015019
zip_07011,Sittwe,07011,township_012001
zip_07012,Sittwe Cantoment,07012,township_012001
zip_07013,Rupa,07013,township_012001
zip_07014,Mingan,07014,township_012001
zip_07015,Thatkaypyin,07015,township_012001
zip_07021,Maungdaw,07021,township_012009
zip_07022,Ngakhuya,07022,township_012009
zip_07023,Ahlaethankyaw,07023,township_012009
zip_07024,Aungthapyay,07024,township_012009
zip_07025,Yemyettaung,07025,township_012009
zip_07026,Kyaukpantu,07026,township_012009
zip_07027,Minkhamaung,07027,township_012009
zip_07028,Mingalarnyunt,07028,township_012009
zip_07029,Mingalargyi,07029,township_012009
zip_07031,Buthidaung,07031,township_012010
zip_07032,Zaydipyin,07032,township_012010
zip_07033,Ponnyolate,07033,township_012010
zip_07034,Kahtila,07034,township_012010
zip_07035,Kyauksating,07035,township_012010
zip_07036,Tharaphe,07036,township_012010
zip_07037,Nyaungchaung,07037,township_012010
zip_07041,Rathedaung,07041,township_012008
zip_07042,Ahngumaw,07042,township_012008
zip_07051,Ponnagyun,07051,township_012002
zip_07052,Yotayoke,07052,township_012002
zip_07053,Thetat,07053,township_012002
zip_07054,Poesheepyin,07054,township_012002
zip_07061,Kyauktaw,07061,township_012004
zip_07062,Apaukwa,07062,township_012004
zip_07063,Kansouth,07063,township_012004
zip_07071,Paletwa,07071,township_012017
zip_07081,Pauktaw,07081,township_012007
zip_07091,Minbya,07091,township_012005
zip_07092,Myaungbwe,07092,township_012005
zip_07093,Panmyaung,07093,township_012005
zip_07094,Kanni,07094,township_012005
zip_07101,MyaukOo,07101,township_012003
zip_07102,Tainnyo,07102,township_012003
zip_07111,Myepon,07111,township_012006
zip_07121,Kyaukphyu,07121,township_012011
zip_07122,Sanae',07122,township_012011
zip_07123,Zinchaung,07123,township_012011
zip_07131,Rambree,07131,township_012013
zip_07132,Kyauknimaw,07132,township_012013
zip_07141,Mamaung,07141,township_012012
zip_07142,Thitpon,07142,township_012012
zip_07151,Ann,07151,township_012014
zip_07152,Tattaung,07152,township_012014
zip_07161,Taunggoke,07161,township_012016
zip_07162,Maei,07162,township_012016
zip_07163,Ywama,07163,township_012016
zip_07164,Lamu,07164,township_012016
zip_07171,Thantwe,07171,township_012015
zip_07172,Ngapali,07172,township_012015
zip_07173,Kinmaw,07173,township_012015
zip_07174,Pazunphay,07174,township_012015
zip_07181,Gwa,07181,township_012017
zip_07182,Kyeintali,07182,township_012017
zip_07183,Sattwar,07183,township_012017
zip_07184,Kanthaya,07184,township_012017
zip_07191,Taungpyowae',07191,township_012009
zip_07192,Kyainchaung,07192,township_012009
zip_07193,Tamanthar,07193,township_012009
zip_07194,Kintaung,07194,township_012009
zip_08011,Bago,08011,township_007001
zip_08012,Pyinpongyi,08012,township_007001
zip_08013,Phayagyi,08013,township_007001
zip_08014,Kyauktan,08014,township_007001
zip_08015,Htongyi,08015,township_007001
zip_08016,Inntakaw,08016,township_007001
zip_08017,Oakthamyothit,08017,township_007001
zip_08018,Bago Collage,08018,township_007001
zip_08019,Thayaaye,08019,township_007001
zip_08021,Kyauktagar,08021,township_007006
zip_08022,Tawkyweinn,08022,township_007006
zip_08023,Penwegone,08023,township_007006
zip_08024,Phado,08024,township_007006
zip_08025,Thahtaygone,08025,township_007006
zip_08031,Nyaunglaybin,08031,township_007005
zip_08032,Painzalote,08032,township_007005
zip_08033,Madauk,08033,township_007005
zip_08034,Pyuntansar,08034,township_007005
zip_08041,Kyaukgyi,08041,township_007011
zip_08042,Natthankwin,08042,township_007011
zip_08051,Shwekyin,08051,township_007008
zip_08061,Deiku,08061,township_007007
zip_08062,Phaungdawthi,08062,township_007007
zip_08063,Katoke,08063,township_007007
zip_08064,Ayethukha,08064,township_007007
zip_08071,Waw,08071,township_007004
zip_08072,Nyaungkharshe,08072,township_007004
zip_08073,Thuyethamain,08073,township_007004
zip_08074,Myitkyo,08074,township_007004
zip_08081,Thanapin,08081,township_007002
zip_08082,Minywa,08082,township_007002
zip_08083,Kamasae',08083,township_007002
zip_08084,Tarwayedagar,08084,township_007002
zip_08085,Kyungyi,08085,township_007002
zip_08086,Kalarchaunggyi,08086,township_007002
zip_08091,Kawa,08091,township_007003
zip_08092,Yitkangyi,08092,township_007003
zip_08093,Ohnnhe,08093,township_007003
zip_08094,Thatgala,08094,township_007003
zip_08101,Taungoo,08101,township_007009
zip_08103,Kyaetaw,08103,township_007009
zip_08104,Kaytumadi,08104,township_007009
zip_08105,TaungooUniversity,08105,township_007009
zip_08111,Yedashe,08111,township_007010
zip_08112,Yeni,08112,township_007010
zip_08113,Myohla,08113,township_007010
zip_08114,Thagaya,08114,township_007010
