id,name,code,township_id:id
town_402,Manton Town,MMR015019701,township_258
town_403,Matman Town,MMR015024701,township_259
town_404,Mongmao Town,MMR015008701,township_260
town_405,Mongmit Town,MMR015017701,township_261
town_406,Mongyai Town,MMR015003701,township_262
town_407,Manhlyoe (Manhero) Town,MMR015009703,township_263
town_408,Monekoe Town,MMR015009702,township_263
town_409,Muse Town,MMR015009701,township_263
town_410,Pang Hseng (Kyu Koke) Town,MMR015009704,township_263
town_411,Nam Hkam Wu Town,MMR015315701,township_264
town_412,Nam Tit Town,MMR015301701,township_265
town_413,Namhkan Town,MMR015010701,township_266
town_414,Namhsan Town,MMR015016701,township_267
town_415,Namtu Town,MMR015015701,township_268
town_416,Nar Kawng Town,MMR015316701,township_269
town_417,Nar Wee (Na Wi) Town,MMR015302701,township_270
town_418,Narphan Town,MMR015006701,township_271
town_419,Nawng Hkit Town,MMR015314701,township_272
town_420,Wein Kawn Town,MMR015314702,township_272
town_421,Nawnghkio Town,MMR015013701,township_273
town_422,Pang Hkam Town,MMR015317701,township_274
town_423,Pang Yang Town,MMR015318701,township_275
town_424,Man Kan Town,MMR015005702,township_276
town_425,Pangsang (Panghkam) Town,MMR015005701,township_276
town_426,Pangwaun Town,MMR015007701,township_277
town_427,Tangyan Town,MMR015004701,township_278
town_428,Yawng Lin Town,MMR015308701,township_279
town_429,Yin Pang Town,MMR015312701,township_280
town_430,Hopong Town,MMR014003701,township_281
town_431,Hsihseng Town,MMR014004701,township_282
town_432,Aungpan Town,MMR014005702,township_283
town_433,He Hoe Town,MMR014005703,township_283
town_434,Kalaw Town,MMR014005701,township_283
town_435,Kar Li Town,MMR014014702,township_284
town_436,Kunhing Town,MMR014014701,township_284
town_437,Kyethi Town,MMR014015701,township_285
town_438,Mongnawng Town,MMR014015702,township_285
town_439,Laihka Town,MMR014012701,township_286
town_440,Homein Town,MMR014018702,township_287
town_441,Langkho Town,MMR014018701,township_287
town_442,Intaw Town,MMR014008702,township_288
town_443,Lawksawk Town,MMR014008701,township_288
town_444,Loilen Town,MMR014011701,township_289
town_445,Pinlon Town,MMR014011702,township_289
town_446,Mawkmai Town,MMR014020701,township_290
town_447,Monghsu Town,MMR014017701,township_291
town_448,Mongsan (Hmonesan) Town,MMR014017702,township_291
town_449,Mongkaing Town,MMR014016701,township_292
town_450,Kengtawng Town,MMR014019702,township_293
town_451,Mongnai Town,MMR014019701,township_293
town_452,Mongpan Town,MMR014021701,township_294
town_453,Kho Lam Town,MMR014013702,township_295
town_454,Nansang Town,MMR014013701,township_295
town_455,Nang Pang Town,MMR014002702,township_296
town_456,Nyaungshwe Town,MMR014002701,township_296
town_457,Pekon Town,MMR014010701,township_297
town_458,Pindaya Town,MMR014006701,township_298
town_459,Naungtayar Town,MMR014009702,township_299
town_460,Pawng Lawng Town,MMR014009703,township_299
town_461,Pinlaung Town,MMR014009701,township_299
town_462,Ayetharyar Town,MMR014001702,township_300
town_463,Kyauktalonegyi Town,MMR014001703,township_300
town_464,Shwenyaung Town,MMR014001704,township_300
town_465,Taunggyi Town,MMR014001701,township_300
town_466,Ywangan Town,MMR014007701,township_301
town_467,Bokpyin Town,MMR006010701,township_302
town_468,Karathuri Town,MMR006010703,township_302
town_469,Pyigyimandaing Town,MMR006010702,township_302
town_470,Dawei Town,MMR006001701,township_303
town_471,Myitta Town,MMR006001702,township_303
town_472,Kawthoung Town,MMR006009701,township_304
town_473,Khamaukgyi Town,MMR006009702,township_304
town_474,Kyunsu Town,MMR006006701,township_305
town_475,Launglon Town,MMR006002701,township_306
town_476,Myeik Town,MMR006005701,township_307
town_477,Pala Town,MMR006007703,township_308
town_478,Palauk Town,MMR006007702,township_308
town_479,Palaw Town,MMR006007701,township_308
town_480,Maw Taung Town,MMR006008702,township_309
town_481,Tanintharyi Town,MMR006008701,township_309
town_482,Thayetchaung Town,MMR006003701,township_310
town_483,Kaleinaung Town,MMR006004702,township_311
town_484,Yebyu Town,MMR006004701,township_311
town_485,Ahlone,MMR013037701,township_312
town_486,Bahan,MMR013044701,township_313
town_487,Botahtaung,MMR013017701,township_314
town_488,Cocokyun Town,MMR013032701,township_315
town_489,Dagon,MMR013043701,township_316
town_490,Dagon Myothit (East),MMR013020701,township_317
town_491,Dagon Myothit (North) Town,MMR013019701,township_318
town_492,Dagon Myothit (Seikkan),MMR013021701,township_319
town_493,Dagon Myothit (South) Town,MMR013018701,township_320
town_494,Dala,MMR013030701,township_321
town_495,Dawbon,MMR013014701,township_322
town_496,Hlaing,MMR013040701,township_323
town_497,Hlaingtharya Town,MMR013008701,township_324
town_498,Hlaingtharya (East) Town,MMR013046701,township_357
town_499,Hlaingtharya (West) Town,MMR013047701,township_358
town_500,Hlegu Town,MMR013004701,township_325
town_501,Hmawbi Town,MMR013003701,township_326
town_502,Htantabin Town,MMR013006701,township_327
town_503,Insein,MMR013001701,township_328
town_504,Kamaryut,MMR013041701,township_329
town_505,Kawhmu Town,MMR013028701,township_330
town_506,Kayan Town,MMR013026701,township_331
town_507,Kungyangon Town,MMR013029701,township_332
town_508,Kyauktada,MMR013033701,township_333
town_509,Yangon City,MMR013000777,township_333
town_510,Kyauktan Town,MMR013024701,township_334
town_511,Tadar Town,MMR013024702,township_334
town_512,Kyeemyindaing,MMR013038701,township_335
town_513,Lanmadaw,MMR013035701,township_336
town_514,Latha,MMR013036701,township_337
town_515,Mayangone,MMR013042701,township_338
town_516,Htaukkyant Town,MMR013002702,township_339
town_517,Mingaladon,MMR013002701,township_339
town_518,Mingalartaungnyunt,MMR013022701,township_340
town_519,North Okkalapa,MMR013012701,township_341
town_520,Pabedan,MMR013034701,township_342
town_521,Pazundaung,MMR013016701,township_343
town_522,Sanchaung,MMR013039701,township_344
town_523,Seikgyikanaungto,MMR013031701,township_345
town_524,Seikkan,MMR013045701,township_346
town_525,Shwepyithar Town,MMR013007701,township_347
town_526,South Okkalapa,MMR013011701,township_348
town_527,Ahpyauk Town,MMR013005703,township_349
town_528,Okekan Town,MMR013005702,township_349
town_529,Taikkyi Town,MMR013005701,township_349
town_530,Tamwe,MMR013015701,township_350
town_531,Thaketa,MMR013013701,township_351
town_532,Thanlyin Town,MMR013023701,township_352
town_533,Thingangyun,MMR013009701,township_353
town_534,Thongwa Town,MMR013025701,township_354
town_535,Twantay Town,MMR013027701,township_355
town_536,Yankin,MMR013010701,township_356
